Unnamed: 0,Discriminacao,Dificuldade,Adivinhacao
V0,0.0,-44933763.031,0.05
V1,-526.496,2.817,0.479
V2,-2.398,0.232,0.0
V3,-963.447,-0.001,0.0
V4,-0.622,5.918,0.012
V5,0.0,-44922441.965,0.05
V6,-1.135,1.211,0.0
V7,0.0,-44911126.601,0.051
V8,0.0,-44899816.937,0.051
V9,-527.799,2.813,0.481
V10,0.0,-44888512.968,0.052
V11,0.0,-44877214.688,0.052
V12,0.0,-44865922.095,0.053
V13,-3.666,0.27,0.0
V14,-1729.921,0.678,0.086
V15,-1978.088,1.702,0.0
V16,0.0,-44854635.184,0.053
V17,2798.16,-1.36,0.0
V18,-1729.725,0.678,0.086
V19,0.383,-7.982,0.637
V20,0.0,-44843353.95,0.053
V21,0.0,-44832078.389,0.054
V22,0.0,-44820808.497,0.054
V23,0.0,-44809544.27,0.055
V24,-1197.427,0.678,0.0
V25,0.395,-7.693,0.64
V26,0.0,-44798285.703,0.055
V27,0.0,-44787032.792,0.056
V28,0.0,-44775785.533,0.056
V29,0.0,-44764543.921,0.057
V30,-3.701,0.311,0.08
V31,0.0,-44753307.953,0.057
V32,0.0,-44742077.624,0.057
V33,0.0,-44730852.93,0.058
V34,0.0,-44719633.866,0.058
V35,-1416.999,1.694,0.157
V36,0.0,-44708420.429,0.059
V37,740.289,-0.304,0.794
V38,0.0,-44697212.614,0.059
V39,0.0,-44686010.417,0.06
V40,0.0,-44674813.833,0.06
V41,-1979.759,1.702,0.0
V42,0.0,-44663622.859,0.06
V43,0.0,-44652437.49,0.061
V44,0.0,-44641257.722,0.061
V45,-2545.123,0.439,0.0
V46,-532.509,2.8,0.486
V47,-1729.53,0.678,0.086
V48,0.0,-44630083.551,0.062
V49,0.0,-44618914.973,0.062
V50,0.0,-44607751.983,0.063
V51,0.0,-44596594.577,0.063
V52,2.044,-1.35,0.0
V53,0.0,-44585442.751,0.063
V54,2.338,-0.609,0.646
V55,0.0,-44574296.501,0.064
V56,0.0,-44563155.823,0.064
V57,-1202.012,0.678,0.0
V58,0.0,-44552020.712,0.065
V59,0.0,-44540891.165,0.065
V60,0.0,-44529767.177,0.066
V61,0.0,-44518648.743,0.066
V62,0.0,-44507535.861,0.067
V63,0.0,-44496428.525,0.067
V64,0.0,-44485326.732,0.067
V65,0.0,-44474230.477,0.068
V66,0.0,-44463139.757,0.068
V67,-534.586,2.796,0.489
V68,0.0,-44452054.566,0.069
V69,4.279,-0.937,0.0
V70,-1416.917,1.694,0.157
V71,0.0,-44440974.902,0.069
V72,0.0,-44429900.759,0.07
V73,0.0,-44418832.134,0.07
V74,0.0,-44407769.022,0.07
V75,0.0,-44396711.42,0.071
V76,0.0,-44385659.324,0.071
V77,0.0,-44374612.728,0.072
V78,0.0,-44363571.63,0.072
V79,0.0,-44352536.025,0.073
V80,0.0,-44341505.909,0.073
V81,0.0,-44330481.277,0.073
V82,0.0,-44319462.127,0.074
V83,0.0,-44308448.452,0.074
V84,0.0,-44297440.251,0.075
V85,-1983.057,1.702,0.0
V86,-536.495,2.792,0.491
V87,-1.369,3.229,0.0
V88,-1810.63,1.688,0.296
V89,0.0,-44286437.518,0.075
V90,-1770.577,1.022,0.0
V91,-1876.922,1.004,0.087
V92,0.0,-44275440.249,0.076
V93,-1171.876,0.678,0.0
V94,-3.818,0.267,0.928
V95,-538.25,2.79,0.494
V96,0.406,-7.442,0.643
V97,0.0,-44264448.441,0.076
V98,0.374,-8.957,0.516
V99,0.0,-44253462.089,0.077
V100,0.0,-44242481.19,0.077
V101,0.0,-44231505.738,0.077
V102,-816.52,-0.678,0.153
V103,0.0,-44220535.731,0.078
V104,-539.073,2.789,0.495
V105,0.0,-44209571.163,0.078
V106,0.0,-44198612.032,0.079
V107,-1774.3,1.022,0.0
V108,0.0,-44187658.333,0.079
V109,-3077.791,0.0,0.0
V110,-3.762,0.238,0.929
V111,-5213.415,-0.269,0.184
V112,0.416,-7.219,0.646
V113,-3.002,0.478,0.0
V114,-1.108,1.243,0.0
V115,0.0,-44176710.061,0.08
V116,-540.621,2.788,0.498
V117,-541.347,2.787,0.499
V118,-542.044,2.787,0.5
V119,-1.293,1.299,0.0
V120,0.0,-44165767.214,0.08
V121,-4773.693,-0.302,0.124
V122,0.0,-44154829.786,0.08
V123,-542.713,2.787,0.501
V124,0.0,-44143897.775,0.081
V125,0.0,-44132971.175,0.081
V126,-1780.507,1.023,0.0
V127,0.0,-44122049.983,0.082
V128,-1781.749,1.023,0.0
V129,-544.56,2.788,0.505
V130,0.0,-44111134.194,0.082
V131,0.0,-44100223.806,0.083
V132,0.0,-44089318.813,0.083
V133,0.372,-8.984,0.519
V134,0.0,-101194.779,0.217
V135,-1784.232,1.023,0.0
V136,0.0,-44078419.212,0.083
V137,0.0,-44067524.999,0.084
V138,0.0,-44056636.17,0.084
V139,-1876.736,1.004,0.087
V140,-545.668,2.79,0.507
V141,0.0,-44045752.72,0.085
V142,-546.188,2.791,0.509
V143,-4570.398,-0.228,0.215
V144,-1787.958,1.023,0.0
V145,-0.214,11.968,0.01
V146,0.0,-44034874.646,0.085
V147,0.0,-44024001.944,0.086
V148,0.0,-44013134.61,0.086
V149,0.0,-44002272.64,0.087
V150,-0.008,491.283,0.112
V151,0.0,-43991416.03,0.087
V152,0.0,-43980564.776,0.087
V153,0.0,-43969718.873,0.088
V154,0.0,-43958878.319,0.088
V155,0.0,-43948043.109,0.089
V156,0.0,-43937213.239,0.089
V157,0.0,-43926388.705,0.09
V158,0.0,-43915569.503,0.09
V159,0.0,-43904755.629,0.09
V160,0.686,-2.756,0.0
V161,0.0,-43893947.08,0.091
V162,0.0,-43883143.852,0.091
V163,-1.148,1.31,0.0
V164,0.0,-43872345.939,0.092
V165,0.0,-43861553.34,0.092
V166,-204.647,3.778,0.0
V167,-204.629,3.778,0.0
V168,-204.611,3.778,0.0
V169,0.0,-43850766.049,0.093
V170,0.0,-43839984.063,0.093
V171,0.0,-43829207.377,0.093
V172,0.0,-43818435.989,0.094
V173,-547.162,2.793,0.511
V174,0.0,-43807669.893,0.094
V175,-2427.084,0.678,0.169
V176,-0.901,4.631,0.0
V177,0.0,-43796909.087,0.095
V178,-204.593,3.777,0.0
V179,0.0,-43786153.566,0.095
V180,-2649.747,-0.677,0.181
V181,-1.82,0.493,0.108
V182,-0.008,495.794,0.113
V183,-1876.551,1.004,0.087
V184,-1416.836,1.694,0.157
V185,0.0,-43775403.326,0.096
V186,0.0,-43764658.364,0.096
V187,-0.008,500.357,0.113
V188,0.0,-43753918.675,0.097
V189,-112.558,0.603,0.862
V190,-3.707,0.257,0.929
V191,0.0,-43743184.256,0.097
V192,0.0,-43732455.102,0.097
V193,-547.617,2.794,0.512
V194,0.0,-43721731.211,0.098
V195,-0.939,3.397,0.0
V196,26.463,1.003,0.868
V197,-1878.246,0.678,0.084
V198,0.0,-43711012.578,0.098
V199,-204.574,3.777,0.0
V200,-5.883,0.041,0.941
V201,-204.556,3.777,0.0
V202,0.0,-43700299.198,0.099
V203,-204.538,3.777,0.0
V204,-0.965,4.291,0.0
V205,-837.705,2.668,0.0
V206,-0.966,3.479,0.0
V207,-204.52,3.777,0.0
V208,-3.954,0.228,0.929
V209,0.0,-43689591.069,0.099
V210,0.0,-43678888.187,0.1
V211,-838.099,2.669,0.0
V212,-1810.395,1.688,0.296
V213,0.575,-3.489,0.0
V214,0.0,-43668190.547,0.1
V215,0.0,-43657498.146,0.1
V216,-1810.16,1.688,0.296
V217,-204.502,3.777,0.0
V218,0.0,-43646810.98,0.101
V219,-0.931,4.482,0.0
V220,-204.484,3.777,0.0
V221,-1829.993,1.765,0.173
V222,0.0,-43636129.045,0.101
V223,0.0,-43625452.337,0.102
V224,-838.875,2.67,0.0
V225,-1763.043,-0.679,0.173
V226,-71.275,0.329,0.85
V227,-0.957,4.316,0.0
V228,-1.36,3.241,0.0
V229,-1420.91,1.042,0.083
V230,-204.466,3.777,0.0
