,skater_mlp_x_test_original,eli5_mlp_x_test_original,dalex_mlp_x_test_original,lofo_mlp_x_test_original,skater_mlp_x_test_1%_permute,eli5_mlp_x_test_1%_permute,dalex_mlp_x_test_1%_permute,lofo_mlp_x_test_1%_permute,skater_mlp_x_test_2%_permute,eli5_mlp_x_test_2%_permute,dalex_mlp_x_test_2%_permute,lofo_mlp_x_test_2%_permute,skater_mlp_x_test_3%_permute,eli5_mlp_x_test_3%_permute,dalex_mlp_x_test_3%_permute,lofo_mlp_x_test_3%_permute,skater_mlp_x_test_4%_permute,eli5_mlp_x_test_4%_permute,dalex_mlp_x_test_4%_permute,lofo_mlp_x_test_4%_permute,skater_mlp_x_test_5%_permute,eli5_mlp_x_test_5%_permute,dalex_mlp_x_test_5%_permute,lofo_mlp_x_test_5%_permute,skater_mlp_x_test_6%_permute,eli5_mlp_x_test_6%_permute,dalex_mlp_x_test_6%_permute,lofo_mlp_x_test_6%_permute,skater_mlp_x_test_7%_permute,eli5_mlp_x_test_7%_permute,dalex_mlp_x_test_7%_permute,lofo_mlp_x_test_7%_permute,skater_mlp_x_test_8%_permute,eli5_mlp_x_test_8%_permute,dalex_mlp_x_test_8%_permute,lofo_mlp_x_test_8%_permute,skater_mlp_x_test_9%_permute,eli5_mlp_x_test_9%_permute,dalex_mlp_x_test_9%_permute,lofo_mlp_x_test_9%_permute,skater_mlp_x_test_10%_permute,eli5_mlp_x_test_10%_permute,dalex_mlp_x_test_10%_permute,lofo_mlp_x_test_10%_permute,skater_lgbm_x_test_original,eli5_lgbm_x_test_original,dalex_lgbm_x_test_original,lofo_lgbm_x_test_original,skater_lgbm_x_test_1%_permute,eli5_lgbm_x_test_1%_permute,dalex_lgbm_x_test_1%_permute,lofo_lgbm_x_test_1%_permute,skater_lgbm_x_test_2%_permute,eli5_lgbm_x_test_2%_permute,dalex_lgbm_x_test_2%_permute,lofo_lgbm_x_test_2%_permute,skater_lgbm_x_test_3%_permute,eli5_lgbm_x_test_3%_permute,dalex_lgbm_x_test_3%_permute,lofo_lgbm_x_test_3%_permute,skater_lgbm_x_test_4%_permute,eli5_lgbm_x_test_4%_permute,dalex_lgbm_x_test_4%_permute,lofo_lgbm_x_test_4%_permute,skater_lgbm_x_test_5%_permute,eli5_lgbm_x_test_5%_permute,dalex_lgbm_x_test_5%_permute,lofo_lgbm_x_test_5%_permute,skater_lgbm_x_test_6%_permute,eli5_lgbm_x_test_6%_permute,dalex_lgbm_x_test_6%_permute,lofo_lgbm_x_test_6%_permute,skater_lgbm_x_test_7%_permute,eli5_lgbm_x_test_7%_permute,dalex_lgbm_x_test_7%_permute,lofo_lgbm_x_test_7%_permute,skater_lgbm_x_test_8%_permute,eli5_lgbm_x_test_8%_permute,dalex_lgbm_x_test_8%_permute,lofo_lgbm_x_test_8%_permute,skater_lgbm_x_test_9%_permute,eli5_lgbm_x_test_9%_permute,dalex_lgbm_x_test_9%_permute,lofo_lgbm_x_test_9%_permute,skater_lgbm_x_test_10%_permute,eli5_lgbm_x_test_10%_permute,dalex_lgbm_x_test_10%_permute,lofo_lgbm_x_test_10%_permute,skater_knn_x_test_original,eli5_knn_x_test_original,dalex_knn_x_test_original,lofo_knn_x_test_original,skater_knn_x_test_1%_permute,eli5_knn_x_test_1%_permute,dalex_knn_x_test_1%_permute,lofo_knn_x_test_1%_permute,skater_knn_x_test_2%_permute,eli5_knn_x_test_2%_permute,dalex_knn_x_test_2%_permute,lofo_knn_x_test_2%_permute,skater_knn_x_test_3%_permute,eli5_knn_x_test_3%_permute,dalex_knn_x_test_3%_permute,lofo_knn_x_test_3%_permute,skater_knn_x_test_4%_permute,eli5_knn_x_test_4%_permute,dalex_knn_x_test_4%_permute,lofo_knn_x_test_4%_permute,skater_knn_x_test_5%_permute,eli5_knn_x_test_5%_permute,dalex_knn_x_test_5%_permute,lofo_knn_x_test_5%_permute,skater_knn_x_test_6%_permute,eli5_knn_x_test_6%_permute,dalex_knn_x_test_6%_permute,lofo_knn_x_test_6%_permute,skater_knn_x_test_7%_permute,eli5_knn_x_test_7%_permute,dalex_knn_x_test_7%_permute,lofo_knn_x_test_7%_permute,skater_knn_x_test_8%_permute,eli5_knn_x_test_8%_permute,dalex_knn_x_test_8%_permute,lofo_knn_x_test_8%_permute,skater_knn_x_test_9%_permute,eli5_knn_x_test_9%_permute,dalex_knn_x_test_9%_permute,lofo_knn_x_test_9%_permute,skater_knn_x_test_10%_permute,eli5_knn_x_test_10%_permute,dalex_knn_x_test_10%_permute,lofo_knn_x_test_10%_permute,skater_dt_x_test_original,eli5_dt_x_test_original,dalex_dt_x_test_original,lofo_dt_x_test_original,skater_dt_x_test_1%_permute,eli5_dt_x_test_1%_permute,dalex_dt_x_test_1%_permute,lofo_dt_x_test_1%_permute,skater_dt_x_test_2%_permute,eli5_dt_x_test_2%_permute,dalex_dt_x_test_2%_permute,lofo_dt_x_test_2%_permute,skater_dt_x_test_3%_permute,eli5_dt_x_test_3%_permute,dalex_dt_x_test_3%_permute,lofo_dt_x_test_3%_permute,skater_dt_x_test_4%_permute,eli5_dt_x_test_4%_permute,dalex_dt_x_test_4%_permute,lofo_dt_x_test_4%_permute,skater_dt_x_test_5%_permute,eli5_dt_x_test_5%_permute,dalex_dt_x_test_5%_permute,lofo_dt_x_test_5%_permute,skater_dt_x_test_6%_permute,eli5_dt_x_test_6%_permute,dalex_dt_x_test_6%_permute,lofo_dt_x_test_6%_permute,skater_dt_x_test_7%_permute,eli5_dt_x_test_7%_permute,dalex_dt_x_test_7%_permute,lofo_dt_x_test_7%_permute,skater_dt_x_test_8%_permute,eli5_dt_x_test_8%_permute,dalex_dt_x_test_8%_permute,lofo_dt_x_test_8%_permute,skater_dt_x_test_9%_permute,eli5_dt_x_test_9%_permute,dalex_dt_x_test_9%_permute,lofo_dt_x_test_9%_permute,skater_dt_x_test_10%_permute,eli5_dt_x_test_10%_permute,dalex_dt_x_test_10%_permute,lofo_dt_x_test_10%_permute
0,V2,V2,V2,V2,V2,V6,V6,V6,V2,V5,V3,V14,V2,V1,V11,V7,V2,V12,V8,V13,V2,V3,V1,V7,V2,V12,V12,V7,V2,V12,V12,V1,V2,V1,V3,V12,V2,V5,V5,V14,V2,V12,V3,V1,V6,V7,V7,V7,V6,V6,V6,V3,V6,V6,V6,V6,V6,V1,V11,V14,V6,V6,V7,V1,V6,V13,V6,V7,V6,V1,V7,V11,V6,V7,V7,V10,V6,V1,V7,V6,V6,V2,V2,V10,V6,V12,V7,V12,V2,V2,V2,V2,V2,V12,V7,V8,V2,V12,V5,V5,V2,V11,V11,V10,V2,V8,V8,V13,V2,V11,V5,V5,V2,V11,V2,V12,V2,V11,V5,V10,V2,V1,V1,V12,V2,V11,V11,V2,V2,V3,V12,V2,V6,V6,V6,V6,V6,V6,V6,V8,V6,V6,V9,V11,V6,V9,V6,V9,V6,V6,V6,V11,V6,V9,V6,V7,V6,V7,V7,V14,V6,V7,V7,V9,V6,V6,V7,V13,V6,V7,V7,V3,V6,V7,V7,V1
1,V12,V12,V12,V11,V12,V1,V9,V7,V12,V1,V12,V7,V12,V11,V5,V12,V12,V1,V9,V7,V12,V5,V14,V1,V12,V1,V1,V6,V12,V5,V10,V14,V12,V14,V11,V1,V12,V1,V14,V6,V12,V9,V11,V7,V7,V6,V6,V6,V7,V12,V12,V6,V7,V2,V2,V13,V7,V6,V5,V1,V7,V1,V10,V12,V7,V1,V7,V9,V7,V14,V2,V7,V7,V1,V14,V8,V7,V8,V14,V5,V7,V1,V13,V6,V7,V10,V2,V13,V11,V11,V11,V11,V11,V10,V4,V14,V11,V3,V11,V11,V11,V3,V3,V12,V11,V4,V5,V9,V11,V12,V8,V3,V11,V12,V12,V10,V11,V12,V8,V13,V11,V6,V6,V8,V11,V2,V5,V13,V11,V12,V13,V8,V7,V7,V7,V7,V7,V9,V9,V13,V7,V9,V8,V14,V7,V8,V9,V8,V7,V7,V7,V3,V7,V8,V9,V8,V7,V6,V6,V13,V7,V9,V9,V4,V7,V9,V9,V2,V7,V9,V9,V9,V7,V9,V6,V5
2,V11,V11,V11,V5,V11,V2,V5,V9,V11,V6,V14,V4,V11,V7,V10,V4,V11,V5,V6,V10,V3,V6,V7,V2,V3,V14,V2,V4,V3,V11,V11,V2,V3,V11,V4,V3,V11,V14,V13,V4,V3,V10,V2,V8,V2,V2,V2,V13,V2,V1,V3,V2,V2,V11,V3,V4,V2,V12,V10,V11,V2,V2,V4,V3,V2,V10,V5,V13,V2,V6,V1,V3,V2,V13,V6,V13,V2,V9,V6,V1,V2,V12,V14,V9,V2,V14,V6,V8,V8,V10,V10,V5,V8,V2,V13,V6,V10,V11,V1,V2,V8,V12,V5,V8,V10,V14,V12,V4,V10,V3,V11,V7,V10,V3,V11,V2,V8,V8,V10,V1,V8,V3,V4,V11,V10,V5,V9,V4,V8,V11,V9,V5,V9,V9,V9,V9,V9,V8,V8,V9,V9,V8,V5,V9,V9,V5,V8,V7,V9,V9,V9,V8,V9,V5,V8,V6,V9,V9,V9,V11,V9,V8,V8,V11,V9,V8,V8,V5,V9,V8,V8,V7,V9,V8,V9,V12
3,V3,V3,V3,V8,V3,V14,V8,V14,V3,V12,V6,V12,V3,V8,V7,V13,V3,V13,V4,V6,V11,V1,V6,V9,V11,V5,V5,V8,V11,V2,V5,V10,V11,V10,V14,V10,V3,V11,V7,V13,V11,V1,V10,V4,V14,V1,V14,V2,V14,V2,V13,V14,V14,V3,V11,V8,V14,V13,V9,V9,V14,V13,V6,V9,V14,V11,V4,V10,V14,V13,V13,V8,V14,V12,V12,V11,V14,V7,V4,V10,V14,V11,V3,V13,V14,V13,V11,V6,V10,V5,V5,V10,V10,V11,V9,V4,V8,V8,V9,V7,V10,V5,V10,V11,V8,V2,V9,V14,V8,V5,V3,V8,V8,V1,V10,V3,V10,V5,V12,V9,V10,V10,V9,V10,V8,V10,V4,V7,V10,V10,V7,V11,V8,V8,V8,V8,V8,V5,V5,V7,V8,V5,V4,V8,V8,V4,V5,V6,V8,V8,V8,V9,V8,V4,V5,V5,V8,V8,V8,V5,V8,V5,V5,V8,V8,V5,V5,V9,V8,V5,V5,V6,V8,V5,V8,V4
4,V10,V10,V10,V3,V10,V7,V4,V8,V10,V11,V4,V11,V10,V6,V3,V14,V10,V10,V13,V14,V10,V12,V4,V12,V10,V8,V7,V10,V10,V1,V13,V5,V10,V9,V5,V13,V10,V7,V1,V9,V10,V8,V12,V6,V1,V14,V1,V12,V1,V13,V11,V8,V1,V7,V8,V14,V1,V2,V8,V10,V1,V10,V8,V2,V1,V9,V9,V14,V1,V7,V10,V9,V1,V14,V13,V12,V1,V6,V11,V13,V1,V14,V5,V1,V1,V3,V10,V5,V5,V8,V8,V8,V5,V3,V1,V9,V5,V9,V7,V9,V5,V10,V8,V9,V5,V11,V7,V7,V5,V2,V2,V6,V5,V6,V13,V11,V5,V2,V2,V14,V5,V5,V14,V6,V5,V12,V6,V9,V5,V13,V4,V12,V5,V5,V5,V5,V5,V4,V4,V5,V5,V4,V3,V7,V5,V3,V4,V5,V5,V5,V5,V6,V5,V3,V4,V4,V5,V5,V5,V9,V5,V4,V4,V13,V5,V4,V4,V6,V5,V4,V4,V4,V5,V4,V5,V14
5,V5,V5,V5,V10,V5,V3,V11,V13,V5,V14,V7,V13,V5,V3,V6,V10,V5,V9,V7,V8,V5,V11,V9,V10,V5,V11,V14,V11,V5,V10,V8,V3,V5,V2,V9,V14,V5,V13,V9,V7,V5,V6,V5,V13,V13,V13,V13,V11,V13,V8,V4,V10,V13,V14,V4,V9,V13,V10,V4,V8,V13,V11,V5,V7,V13,V6,V3,V1,V13,V12,V12,V6,V13,V10,V11,V1,V13,V12,V8,V4,V13,V13,V9,V3,V13,V4,V4,V4,V12,V12,V12,V3,V12,V13,V6,V13,V12,V1,V4,V6,V12,V1,V4,V13,V12,V3,V6,V8,V12,V13,V13,V4,V12,V13,V6,V1,V12,V10,V13,V7,V3,V12,V7,V14,V3,V3,V7,V14,V3,V2,V14,V3,V4,V4,V4,V4,V4,V3,V3,V4,V4,V3,V2,V5,V4,V2,V3,V3,V4,V4,V4,V5,V4,V2,V3,V13,V4,V4,V4,V8,V4,V3,V3,V6,V4,V3,V3,V3,V4,V3,V3,V2,V4,V3,V4,V7
6,V8,V8,V8,V1,V8,V13,V7,V12,V8,V9,V5,V1,V8,V2,V14,V3,V8,V2,V14,V3,V8,V9,V13,V6,V8,V13,V9,V9,V8,V3,V1,V9,V8,V13,V6,V5,V8,V9,V4,V11,V8,V13,V4,V11,V12,V12,V12,V3,V12,V5,V9,V11,V12,V13,V9,V12,V12,V7,V3,V13,V12,V3,V11,V4,V12,V4,V8,V11,V12,V2,V6,V4,V12,V2,V3,V9,V12,V2,V9,V14,V12,V7,V11,V11,V12,V9,V9,V3,V3,V3,V3,V12,V3,V1,V14,V7,V3,V14,V14,V14,V3,V14,V14,V1,V3,V10,V14,V1,V3,V6,V1,V14,V3,V14,V1,V14,V3,V13,V11,V6,V12,V8,V10,V9,V12,V8,V14,V6,V12,V6,V6,V10,V3,V3,V3,V3,V3,V2,V2,V2,V3,V2,V14,V4,V3,V14,V2,V14,V3,V3,V3,V2,V3,V14,V2,V10,V3,V3,V3,V6,V3,V2,V2,V3,V3,V2,V2,V14,V3,V2,V2,V14,V3,V2,V3,V6
7,V1,V1,V1,V12,V1,V9,V13,V5,V1,V3,V9,V3,V1,V10,V4,V11,V1,V7,V3,V9,V1,V2,V5,V5,V1,V6,V10,V13,V1,V14,V9,V13,V1,V5,V10,V8,V1,V12,V12,V5,V1,V14,V9,V3,V10,V10,V11,V9,V10,V7,V5,V9,V10,V1,V5,V11,V10,V11,V12,V7,V10,V5,V9,V11,V10,V7,V11,V8,V10,V10,V5,V14,V10,V5,V9,V14,V10,V10,V5,V3,V10,V10,V8,V2,V10,V8,V3,V9,V13,V1,V9,V7,V13,V9,V10,V1,V13,V7,V6,V4,V13,V6,V9,V7,V13,V5,V1,V6,V13,V14,V9,V1,V13,V9,V9,V6,V13,V1,V4,V4,V13,V2,V13,V13,V13,V6,V13,V1,V13,V9,V1,V13,V2,V2,V2,V2,V2,V14,V14,V12,V2,V14,V13,V3,V2,V13,V14,V13,V2,V2,V2,V14,V2,V13,V14,V3,V2,V2,V2,V3,V2,V14,V14,V2,V2,V14,V14,V12,V2,V14,V14,V13,V2,V14,V2,V9
8,V6,V6,V6,V14,V6,V8,V14,V11,V6,V10,V8,V9,V6,V5,V9,V2,V6,V8,V1,V4,V6,V14,V10,V4,V6,V3,V13,V1,V6,V9,V3,V6,V6,V8,V7,V6,V6,V6,V10,V12,V6,V5,V13,V2,V11,V11,V10,V5,V11,V14,V8,V4,V11,V10,V10,V1,V11,V4,V7,V12,V11,V9,V3,V8,V11,V14,V2,V4,V11,V3,V8,V5,V11,V11,V8,V2,V11,V14,V3,V12,V11,V4,V4,V4,V11,V5,V8,V11,V1,V7,V6,V6,V1,V5,V12,V5,V14,V4,V13,V1,V1,V8,V7,V6,V1,V12,V4,V11,V1,V1,V7,V9,V1,V4,V7,V4,V9,V4,V7,V12,V1,V11,V2,V3,V7,V7,V10,V8,V1,V8,V11,V6,V14,V14,V14,V14,V14,V13,V13,V11,V14,V13,V12,V2,V14,V12,V13,V12,V14,V14,V14,V13,V14,V12,V13,V14,V14,V14,V14,V2,V14,V13,V13,V14,V14,V13,V13,V10,V14,V13,V13,V11,V14,V13,V14,V3
9,V13,V13,V13,V7,V13,V10,V3,V4,V13,V2,V2,V2,V13,V13,V13,V9,V13,V4,V11,V1,V13,V13,V2,V11,V13,V7,V4,V14,V13,V13,V7,V12,V13,V3,V13,V4,V13,V4,V6,V2,V9,V4,V8,V14,V5,V3,V3,V4,V5,V10,V10,V7,V5,V8,V7,V5,V5,V5,V14,V5,V5,V12,V2,V6,V5,V12,V14,V2,V5,V8,V14,V2,V5,V6,V4,V6,V5,V13,V10,V11,V5,V6,V10,V5,V5,V7,V5,V1,V7,V4,V14,V4,V9,V8,V2,V10,V7,V6,V8,V13,V6,V2,V6,V4,V4,V13,V13,V5,V7,V9,V4,V13,V14,V7,V4,V9,V7,V14,V6,V11,V14,V13,V11,V7,V1,V13,V1,V10,V7,V1,V10,V14,V13,V13,V13,V13,V13,V12,V12,V1,V13,V12,V11,V13,V13,V11,V12,V10,V13,V13,V13,V10,V13,V11,V12,V12,V13,V13,V13,V12,V13,V12,V12,V12,V13,V12,V12,V1,V13,V12,V12,V1,V13,V12,V13,V2
10,V9,V9,V9,V6,V9,V5,V10,V2,V9,V8,V13,V6,V9,V12,V1,V6,V9,V3,V2,V2,V9,V7,V3,V13,V9,V10,V6,V12,V9,V4,V6,V7,V14,V12,V2,V11,V9,V2,V2,V1,V13,V7,V6,V10,V3,V8,V4,V8,V3,V3,V7,V1,V3,V5,V1,V2,V3,V14,V13,V3,V3,V4,V13,V5,V3,V2,V13,V5,V3,V4,V4,V10,V3,V8,V5,V5,V3,V4,V12,V7,V3,V5,V7,V7,V3,V1,V13,V7,V14,V13,V4,V14,V14,V14,V11,V3,V1,V2,V10,V3,V7,V9,V13,V14,V7,V7,V10,V3,V14,V4,V14,V10,V9,V5,V14,V7,V1,V6,V14,V3,V4,V4,V8,V4,V4,V4,V2,V11,V14,V14,V8,V7,V12,V12,V12,V12,V12,V11,V11,V3,V12,V11,V10,V12,V12,V10,V11,V1,V12,V12,V12,V1,V12,V10,V11,V11,V12,V12,V12,V10,V12,V11,V11,V10,V12,V11,V11,V8,V12,V11,V11,V5,V12,V11,V12,V11
11,V14,V14,V14,V13,V14,V12,V2,V3,V14,V4,V1,V8,V14,V14,V8,V1,V14,V11,V10,V11,V14,V8,V8,V14,V14,V2,V8,V5,V14,V7,V14,V4,V9,V7,V1,V7,V14,V8,V3,V10,V14,V3,V14,V9,V4,V9,V8,V10,V4,V4,V1,V5,V4,V9,V12,V7,V4,V8,V1,V4,V4,V7,V12,V14,V4,V3,V10,V3,V4,V9,V9,V1,V4,V3,V10,V3,V4,V3,V1,V8,V4,V8,V6,V12,V4,V6,V12,V2,V6,V6,V7,V9,V7,V7,V5,V12,V9,V5,V12,V8,V9,V13,V1,V3,V14,V9,V2,V12,V9,V10,V6,V2,V7,V2,V5,V13,V6,V3,V9,V2,V6,V9,V5,V1,V9,V14,V8,V5,V9,V7,V3,V4,V11,V11,V11,V11,V11,V10,V10,V10,V11,V10,V1,V6,V11,V1,V10,V2,V11,V11,V11,V12,V11,V1,V10,V2,V11,V11,V11,V1,V11,V10,V10,V1,V11,V10,V10,V4,V11,V10,V10,V12,V11,V10,V11,V10
12,V7,V4,V7,V9,V7,V11,V1,V1,V7,V13,V10,V5,V7,V4,V12,V8,V7,V14,V5,V5,V7,V10,V12,V3,V7,V9,V3,V3,V7,V8,V2,V11,V7,V6,V12,V2,V7,V3,V8,V8,V7,V11,V7,V5,V8,V4,V9,V1,V8,V9,V2,V13,V8,V4,V13,V3,V8,V9,V6,V2,V8,V14,V1,V13,V8,V8,V1,V12,V8,V5,V11,V13,V8,V4,V2,V7,V8,V5,V13,V2,V8,V9,V1,V8,V8,V2,V14,V14,V9,V14,V1,V13,V4,V4,V8,V11,V4,V10,V3,V12,V4,V7,V12,V5,V6,V6,V3,V2,V6,V8,V12,V12,V6,V8,V3,V5,V4,V9,V1,V5,V7,V14,V12,V2,V14,V1,V3,V12,V4,V4,V5,V9,V10,V10,V10,V10,V10,V1,V1,V14,V10,V1,V6,V1,V10,V6,V1,V11,V10,V10,V10,V7,V10,V7,V1,V9,V10,V10,V10,V4,V10,V1,V1,V5,V10,V1,V1,V11,V10,V1,V1,V10,V10,V1,V10,V13
13,V4,V7,V4,V4,V4,V4,V12,V10,V4,V7,V11,V10,V4,V9,V2,V5,V4,V6,V12,V12,V4,V4,V11,V8,V4,V4,V11,V2,V4,V6,V4,V8,V4,V4,V8,V9,V4,V10,V11,V3,V4,V2,V1,V12,V9,V5,V5,V14,V9,V11,V14,V12,V9,V12,V14,V10,V9,V3,V2,V6,V9,V8,V14,V10,V9,V5,V12,V6,V9,V11,V3,V12,V9,V9,V1,V4,V9,V11,V2,V9,V9,V3,V12,V14,V9,V11,V1,V10,V4,V9,V13,V1,V6,V6,V3,V2,V6,V13,V2,V10,V14,V4,V2,V2,V9,V1,V11,V10,V4,V7,V10,V11,V4,V10,V8,V8,V14,V7,V3,V8,V9,V7,V3,V5,V6,V9,V12,V3,V6,V5,V2,V1,V1,V1,V1,V1,V1,V7,V7,V6,V1,V7,V7,V10,V1,V7,V7,V4,V1,V1,V1,V4,V1,V6,V7,V1,V1,V1,V1,V7,V1,V6,V6,V7,V1,V7,V6,V7,V1,V6,V6,V8,V1,V6,V1,V8
